id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4826,The Place,6603,Kaan,,Uskudar,41.0564988437772,29.053673896223184,Entire home/apt,562,1,1,2009-06-01,0.01,1,365
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06984247188901,29.045452236902722,Entire home/apt,102,10,41,2018-11-07,0.39,2,304
25436,House for vacation rental furnutare,105823,Yesim,,Besiktas,41.07731237300444,29.038905975652376,Entire home/apt,214,5,0,,,1,0
27271,LOVELY APT. IN PERFECT LOCATION,117026,Mutlu,,Beyoglu,41.032195423606126,28.98216272871021,Entire home/apt,182,5,2,2018-05-04,0.04,1,327
28277,Duplex Apartment with Terrace ,121607,Alen,,Sisli,41.04470758848135,28.98567437019367,Entire home/apt,605,3,0,,,14,346
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09047578219982,29.05558947224637,Entire home/apt,643,3,0,,,1,365
29241,"↪ Istanbul, Your second house ",125742,Şevki,,Beyoglu,41.04844333940777,28.95253938225249,Private room,268,3,0,,,1,365
30697,nice home in popular area,132137,Nan,,Beyoglu,41.033503134824706,28.97626238320164,Private room,611,1,1,2010-06-14,0.01,1,365
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.053821398445976,28.997393471317853,Private room,305,2,1,2014-10-21,0.02,2,364
33580,single/double visitors,145271,Mine,,Besiktas,41.07687233596222,29.027138430338802,Private room,166,2,10,2017-12-02,0.10,1,363
33730,Bosphorus Turquoise Room! Sea view♡,145810,Tony,,Beykoz,41.08765370973698,29.075957589520808,Private room,107,2,10,2018-08-23,0.20,8,181
34177,PETIT HOUSE,147330,Ercan,,Besiktas,41.06900701541851,29.038820770429464,Entire home/apt,193,30,8,2016-07-14,0.15,2,363
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02703907140381,28.97588299204766,Private room,370,1,0,,,1,365
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.03657509308393,28.97212557700766,Entire home/apt,364,60,37,2018-10-07,0.62,2,364
35938,Cosy Room in Istanbul Center,154245,Sinan,,Besiktas,41.049022739590605,28.99829096127877,Private room,402,1,0,,,1,364
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02725249945743,28.977180913350082,Entire home/apt,359,5,46,2017-05-21,0.47,6,179
42708,"Residence Flat: 22, Suit: 72",186554,Necdet,,Atasehir,40.98772072446613,29.098555288212598,Entire home/apt,1071,2,0,,,2,204
42896,A FLAT IN TOWN CENTRE-EUROPEAN SIDE- FAMILY FEELS,187359,Semi,,Sariyer,41.118598747013415,29.03605133096174,Private room,289,3,0,,,2,365
44429,"COZY, CENTRAL, LOVELY&CHECK OUT THE BATHROOM!*",194194,Zeyno,,Beyoglu,41.0308184816261,28.97958394013123,Entire home/apt,257,3,5,2018-11-11,1.42,1,56
45543,A COMPACT COMPOUND WITH POOL,187359,Semi,,Sariyer,41.13939840140988,29.029009241750323,Private room,514,7,0,,,2,364
47264,Kurucesme stunning seaview peacfull Flat,213410,Evrim,,Besiktas,41.06486382390361,29.034729471858068,Entire home/apt,402,3,8,2018-09-12,0.09,5,356
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.03467339394726,28.98902084644227,Private room,268,3,0,,,1,365
49955,A room with a view of Bosphorous.,228352,Oz,,Fatih,41.01717318353708,28.963245398387638,Private room,305,1,0,,,1,365
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.02752375615868,28.978576571922375,Entire home/apt,359,5,27,2017-03-14,0.29,6,179
53612,Gorgeous Bosphorus View 3BDR Apt with Terrace,250139,Onur,,Besiktas,41.044389013955296,29.012663293405762,Entire home/apt,498,30,20,2017-11-27,0.25,1,363
58441,Private  studio bestlocation@Taksim,279673,Engin,,Beyoglu,41.03849823863274,28.981892928845095,Entire home/apt,182,28,16,2016-12-31,0.20,3,364
62172,Central Location Taksim/Cihangir ,302361,Nurten,,Beyoglu,41.034420707604106,28.98560675339193,Private room,487,3,0,,,3,365
62817,Quiet room in central apartment,305202,Oksan,,Beyoglu,41.03704384863021,28.99066519096539,Private room,236,2,74,2018-08-22,0.82,1,364
73477,Cozy Flat in center of Istanbul,383789,Berat,,Beyoglu,41.03553404800383,28.987058265103595,Private room,187,2,0,,,1,365
77190,flat with garden'n' terrace taksim,413150,Baris,,Beyoglu,41.0334283561697,28.990570252228594,Entire home/apt,161,14,34,2018-08-16,0.38,2,317
77292,Gümüşsuyu Apartment,414003,Gumussuyu,,Beyoglu,41.03656043075442,28.988728231804608,Entire home/apt,611,3,0,,,1,363
87024,Nisantasi Studio Apartment,413986,Nisantasi,,Sisli,41.05017576188305,28.990152238158927,Entire home/apt,1526,1,0,,,1,365
88949,Wonderful room with Historical View,485384,Alev,,Beyoglu,41.033259632435694,28.978756825530887,Private room,161,2,83,2016-06-16,0.91,1,355
97800,Bosphorus Views,517242,Selcuk,,Beyoglu,41.029451931144095,28.974042237832236,Entire home/apt,396,3,0,,,1,0
101397,❛Cozy • Clean • Central • Room❜,531367,Guliz,,Beyoglu,41.0308184021941,28.980533332200455,Private room,102,2,50,2018-11-10,0.56,1,363
108038,Agan Hotel,559244,Vakif,,Fatih,41.014289481199214,28.978362748947205,Private room,396,1,1,2012-07-25,0.01,2,364
108164,(Website hidden by Airbnb) seaview.Next to forest,213410,Evrim,,Besiktas,41.06319166428445,29.037003095881175,Private room,107,1,5,2018-01-03,0.06,5,356
108537,Cihangir Connection,561692,Hasan,,Beyoglu,41.03103448118834,28.983998848627515,Entire home/apt,268,2,3,2018-04-11,0.24,1,323
110344,Hotel Antique Istanbul,566816,Tony,,Fatih,41.00389363909849,28.976480378169793,Private room,214,5,0,,,1,339
114786,Blue Mosque View in Sultanahmet,582060,Fernando,,Fatih,41.00527475531198,28.97851026693416,Entire home/apt,477,3,49,2018-10-23,0.60,3,317
127912,"View, Kid-friendly, Central @Taksim",632856,Secil,,Beyoglu,41.03518178108017,28.992161148191546,Entire home/apt,300,4,18,2018-10-10,0.24,1,340
128471,Private Single Room (S) at Kadikoy!,635236,Baran H.,,Kadikoy,40.99581505720259,29.03474723898016,Private room,75,2,8,2014-07-28,0.09,28,260
128488,Great SINGLE Rooms @ Kadikoy Centre,635236,Baran H.,,Kadikoy,40.993867338935644,29.034810922435877,Private room,91,2,8,2013-08-02,0.10,28,260
130225,Room in a modern home.,641487,Efe,,Kadikoy,40.97618118647013,29.044419201128182,Private room,268,1,1,2012-08-04,0.01,1,365
130231,Flat with super Golden Horn view,641504,Chris,,Beyoglu,41.033983403174254,28.972974541892366,Entire home/apt,439,3,6,2018-11-06,0.07,1,75
133148,Eveything you need - as you wish,654031,Nurhan,,Kagithane,41.064955725743516,28.956509873830637,Entire home/apt,803,2,0,,,1,365
135956,Single private room in shared flat,666066,Ali,,Beyoglu,41.028931204406646,28.977899117228574,Private room,75,10,23,2018-10-01,0.26,14,324
136818,warm family place ..,669517,Cengiz,,Kadikoy,40.98242059923164,29.05150745525019,Private room,348,1,0,,,1,365
138394,Entire Flat at Cihangir/Taksim,675641,Juliet,,Beyoglu,41.03281697498823,28.985367241150698,Entire home/apt,643,1,0,,,1,365
139351,flat in galata 150sqm fantastic vue,679615,Paskal,,Beyoglu,41.026583388693695,28.97589794954955,Entire home/apt,418,4,14,2018-11-02,1.79,2,29
139804,Entire house in central Kadikoy,681763,Deniz,,Kadikoy,40.98373384123345,29.028647839527473,Entire home/apt,241,4,6,2018-10-21,0.07,1,357
140269,Penthouse in Taxim -with 2 bedrooms,683356,Damir,,Beyoglu,41.03577293203515,28.9773022465115,Entire home/apt,396,2,128,2015-12-27,1.43,3,318
140952,(-55%)28nts in may 300€:Best LocationDuplex@Taksim,279673,Engin,,Beyoglu,41.03895213868425,28.983865596018937,Entire home/apt,273,15,8,2017-01-10,0.16,3,365
146854,Beautiful & Super Deluxe Flat,709964,Lily,,Sisli,41.04752950666099,28.98030485139661,Private room,321,1,0,,,1,364
152549,Room in Greenness inc Breakfast,734040,Can,,Sariyer,41.08700201747813,29.053690478469004,Private room,139,2,34,2016-06-13,0.38,3,307
155757,Cosy lovely room in Kadıkoy/Moda,748852,Asiye,,Kadikoy,40.98696853668484,29.02771426929434,Private room,187,2,15,2014-10-04,0.17,2,364
158461,Friendly Family Home,760827,Enathol,,Adalar,40.8717065792221,29.12909776274076,Private room,536,1,0,,,1,365
158618,King Suite Studio  Near Taksim Square,730566,Murat,,Beyoglu,41.037672604549925,28.982185047431468,Private room,337,1,0,,,3,365
